"";"team.name";"player.name";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"number_of_matches";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"1";"Spain";"Daniel Olmo Carvajal";36;175;262;5;11,69;28;5;79,55;37,49;3;27;27;3,97;0,029;0,137;7,2;35;52,4;2,338;5,6;1;15,91;7,498;0,6;5,4;0,794;5,4;7,2
"2";"Spain";"Aymeric Laporte";131;622;1018;6;11,94;114;13;57,88;36,13;4,22;128;196;8,11;0,021;0,129;21,833;103,667;169,667;1,99;19;2,167;9,647;6,022;0,703;21,333;1,352;32,667;21,833
"3";"Italy";"Emerson Palmieri dos Santos";9;129;163;4;12,3;15;2;48,67;17,86;3,33;22;19;3,14;0,016;0,055;2,25;32,25;40,75;3,075;3,75;0,5;12,168;4,465;0,833;5,5;0,785;4,75;2,25
"4";"Italy";"Ciro Immobile";18;122;91;6;13,03;7;1;69,62;23,07;2,4;6;10;7,77;0,008;0,198;3;20,333;15,167;2,172;1,167;0,167;11,603;3,845;0,4;1;1,295;1,667;3
"5";"Spain";"Eric García Martret";50;271;316;3;10,93;90;5;53,46;47,61;4,29;125;125;4,94;0,018;0,158;16,667;90,333;105,333;3,643;30;1,667;17,82;15,87;1,43;41,667;1,647;41,667;16,667
"6";"Spain";"Unai Simón Mendibil";24;160;194;6;15,81;44;4;30,09;39,12;2,04;39;15;15,08;0,025;0,124;4;26,667;32,333;2,635;7,333;0,667;5,015;6,52;0,34;6,5;2,513;2,5;4
"10";"Spain";"Jordi Alba Ramos";68;505;825;6;12,54;64;6;70,32;19,16;3,77;73;100;5,4;0,012;0,082;11,333;84,167;137,5;2,09;10,667;1;11,72;3,193;0,628;12,167;0,9;16,667;11,333
"11";"Spain";"Ferrán Torres García";17;131;163;6;9,38;8;2;78,39;13,75;5;18;12;-5,34;0,015;0,104;2,833;21,833;27,167;1,563;1,333;0,333;13,065;2,292;0,833;3;-0,89;2;2,833
"15";"Spain";"Sergio Busquets i Burgos";124;303;566;4;12,04;32;4;61,51;40,48;4,66;65;77;1,5;0,013;0,219;31;75,75;141,5;3,01;8;1;15,377;10,12;1,165;16,25;0,375;19,25;31
"16";"Italy";"Jorge Luiz Frello Filho";163;493;859;7;17,21;15;3;48,07;51,18;4,81;25;29;2,71;0,006;0,19;23,286;70,429;122,714;2,459;2,143;0,429;6,867;7,311;0,687;3,571;0,387;4,143;23,286
"17";"Italy";"Federico Chiesa";18;96;124;7;8,89;8;0;65,94;66,49;3,29;9;10;2,21;0;0,145;2,571;13,714;17,714;1,27;1,143;0;9,42;9,499;0,47;1,286;0,316;1,429;2,571
"19";"Spain";"Jorge Resurrección Merodio";78;419;782;6;13,93;29;5;72,06;49,59;4,41;49;90;2,98;0,012;0,1;13;69,833;130,333;2,322;4,833;0,833;12,01;8,265;0,735;8,167;0,497;15;13
"20";"Italy";"Giorgio Chiellini";38;278;395;5;18,3;38;6;50;30,99;3,96;46;75;10,06;0,022;0,096;7,6;55,6;79;3,66;7,6;1,2;10;6,198;0,792;9,2;2,012;15;7,6
"22";"Italy";"Gianluigi Donnarumma";15;160;258;7;32,18;26;4;36,14;37,64;1,61;22;25;24,92;0,025;0,058;2,143;22,857;36,857;4,597;3,714;0,571;5,163;5,377;0,23;3,143;3,56;3,571;2,143
"23";"Italy";"Giovanni Di Lorenzo";51;291;535;6;16,41;22;0;58,16;46,99;3,7;30;47;5,4;0;0,095;8,5;48,5;89,167;2,735;3,667;0;9,693;7,832;0,617;5;0,9;7,833;8,5
"27";"Italy";"Leonardo Bonucci";134;446;877;7;24,25;34;3;52,38;43,97;3,16;31;49;16,3;0,007;0,153;19,143;63,714;125,286;3,464;4,857;0,429;7,483;6,281;0,451;4,429;2,329;7;19,143
"34";"Italy";"Lorenzo Insigne";67;311;477;6;14,38;16;4;73,66;31,23;3,13;22;29;3,62;0,013;0,14;11,167;51,833;79,5;2,397;2,667;0,667;12,277;5,205;0,522;3,667;0,603;4,833;11,167
"40";"Italy";"Marco Verratti";112;405;619;5;9,5;15;1;56,49;29,69;4,96;23;24;3,24;0,002;0,181;22,4;81;123,8;1,9;3;0,2;11,298;5,938;0,992;4,6;0,648;4,8;22,4
"45";"Italy";"Nicolò Barella";66;227;341;6;15,88;8;2;73,77;54,33;5,11;12;13;0,27;0,009;0,194;11;37,833;56,833;2,647;1,333;0,333;12,295;9,055;0,852;2;0,045;2,167;11
"48";"Spain";"César Azpilicueta Tanco";51;272;460;4;11,54;25;0;57,69;61,41;5,12;55;40;-3,46;0;0,111;12,75;68;115;2,885;6,25;0;14,422;15,352;1,28;13,75;-0,865;10;12,75
"62";"Spain";"Pedro González López";114;441;902;6;9,53;29;3;68,15;28,59;4,53;58;82;-2,44;0,007;0,126;19;73,5;150,333;1,588;4,833;0,5;11,358;4,765;0,755;9,667;-0,407;13,667;19
"98";"Spain";"Mikel Oyarzabal Ugarte";15;90;84;6;8,07;9;1;83,33;54,07;5,7;22;15;-2,71;0,011;0,179;2,5;15;14;1,345;1,5;0,167;13,888;9,012;0,95;3,667;-0,452;2,5;2,5
"674";"Spain";"Álvaro Borja Morata Martín";19;133;110;6;8,52;6;1;86,55;24,84;4,56;9;14;-0,57;0,008;0,173;3,167;22,167;18,333;1,42;1;0,167;14,425;4,14;0,76;1,5;-0,095;2,333;3,167
"723";"Italy";"Domenico Berardi";36;130;163;6;5,18;6;2;67,54;52,32;3,82;7;7;-2,57;0,015;0,221;6;21,667;27,167;0,863;1;0,333;11,257;8,72;0,637;1,167;-0,428;1,167;6
"762";"Spain";"Rodrigo Hernández Cascante";34;186;248;5;11,64;20;5;64,87;57,6;4,77;42;61;-1,24;0,027;0,137;6,8;37,2;49,6;2,328;4;1;12,974;11,52;0,954;8,4;-0,248;12,2;6,8
"772";"Spain";"Gerard Moreno Balaguero";19;112;135;5;11,21;11;0;76,19;58,97;3,78;16;7;-0,53;0;0,141;3,8;22,4;27;2,242;2,2;0;15,238;11,794;0,756;3,2;-0,106;1,4;3,8
"839";"Italy";"Matteo Pessina";4;56;87;4;9,35;4;0;84,16;34,08;5,33;7;5;-0,64;0;0,046;1;14;21,75;2,337;1;0;21,04;8,52;1,332;1,75;-0,16;1,25;1
"900";"Italy";"Andrea Belotti";4;31;22;5;13,23;4;1;70,18;43,94;2,2;2;3;8;0,032;0,182;0,8;6,2;4,4;2,646;0,8;0,2;14,036;8,788;0,44;0,4;1,6;0,6;0,8
"906";"Italy";"Rafael Tolói";25;78;169;3;24,96;13;4;73,58;66,59;1,53;10;35;19,94;0,051;0,148;8,333;26;56,333;8,32;4,333;1,333;24,527;22,197;0,51;3,333;6,647;11,667;8,333
"909";"Italy";"Manuel Locatelli";31;132;219;5;11,03;3;1;59,98;37,22;3,4;4;6;1,36;0,008;0,142;6,2;26,4;43,8;2,206;0,6;0,2;11,996;7,444;0,68;0,8;0,272;1,2;6,2
"922";"Spain";"Marcos Llorente Moreno";38;239;365;4;10,26;7;1;60,87;62,88;5,31;25;18;-7,36;0,004;0,104;9,5;59,75;91,25;2,565;1,75;0,25;15,217;15,72;1,327;6,25;-1,84;4,5;9,5
"1131";"Italy";"Federico Bernardeschi";0;47;81;4;0;0;0;96,7;31,6;3;0;0;-1,8;0;0;0;11,75;20,25;0;0;0;24,175;7,9;0,75;0;-0,45;0;0
"1139";"Spain";"Pau Francisco Torres";73;381;580;6;15,42;9;4;55,25;38,11;3,13;15;31;4,82;0,01;0,126;12,167;63,5;96,667;2,57;1,5;0,667;9,208;6,352;0,522;2,5;0,803;5,167;12,167
"1146";"Spain";"Thiago Alcântara do Nascimento";27;80;146;4;37,72;5;0;72,25;54,46;3,82;8;4;12,15;0;0,185;6,75;20;36,5;9,43;1,25;0;18,062;13,615;0,955;2;3,038;1;6,75
"12";"Russia";"Aleksey Miranchuk";16;48;92;3;16,88;5;2;76,09;48,16;4,09;7;11;2,35;0,042;0,174;5,333;16;30,667;5,627;1,667;0,667;25,363;16,053;1,363;2,333;0,783;3,667;5,333
"21";"Russia";"Igor Diveev";22;96;255;3;25,07;15;2;57,49;39,94;4,75;14;22;15,34;0,021;0,086;7,333;32;85;8,357;5;0,667;19,163;13,313;1,583;4,667;5,113;7,333;7,333
"31";"Denmark";"Simon Thorup Kjær";47;247;444;6;15,29;35;2;53,16;48,49;7,2;46;62;5,82;0,008;0,106;7,833;41,167;74;2,548;5,833;0,333;8,86;8,082;1,2;7,667;0,97;10,333;7,833
"41";"Denmark";"Jannik Vestergaard";41;226;393;6;12,85;36;6;51,83;33,74;6,8;51;44;4,17;0,027;0,104;6,833;37,667;65,5;2,142;6;1;8,638;5,623;1,133;8,5;0,695;7,333;6,833
"51";"Denmark";"Andreas Christensen";52;261;441;6;12,62;22;5;51,84;50,63;7,2;48;55;-0,75;0,019;0,118;8,667;43,5;73,5;2,103;3,667;0,833;8,64;8,438;1,2;8;-0,125;9,167;8,667
"7";"Russia";"Fedor Kudryashov";6;17;62;1;19,87;15;3;65,84;17,18;3,65;12;33;16,71;0,176;0,097;6;17;62;19,87;15;3;65,84;17,18;3,65;12;16,71;33;6
"9";"Denmark";"Kasper Schmeichel";44;98;327;6;37,1;27;1;51,28;39,61;3,7;14;17;37,1;0,01;0,135;7,333;16,333;54,5;6,183;4,5;0,167;8,547;6,602;0,617;2,333;6,183;2,833;7,333
"101";"Denmark";"Yussuf Yurary Poulsen";12;85;135;5;9,55;6;0;73,63;35,22;3,62;11;5;1,99;0;0,089;2,4;17;27;1,91;1,2;0;14,726;7,044;0,724;2,2;0,398;1;2,4
"111";"Russia";"Magomed Ozdoev";28;88;176;3;14,28;12;1;71,83;41,38;4,39;11;13;4;0,011;0,159;9,333;29,333;58,667;4,76;4;0,333;23,943;13,793;1,463;3,667;1,333;4,333;9,333
"121";"Russia";"Roman Zobnin";6;98;138;3;12,51;17;0;64;30,36;5;18;9;3,46;0;0,043;2;32,667;46;4,17;5,667;0;21,333;10,12;1,667;6;1,153;3;2
"13";"Russia";"Daler Kuzyaev";12;80;119;3;15,37;17;3;66,47;22,33;4,82;23;42;4,97;0,038;0,101;4;26,667;39,667;5,123;5,667;1;22,157;7,443;1,607;7,667;1,657;14;4
"18";"Russia";"Aleksandr Golovin";51;110;227;3;9,56;17;6;66,92;28,17;3,96;18;27;2,59;0,055;0,225;17;36,667;75,667;3,187;5,667;2;22,307;9,39;1,32;6;0,863;9;17
"191";"Denmark";"Thomas Delaney";59;233;421;6;16,32;25;6;66,04;38,63;5,61;43;71;4,35;0,026;0,14;9,833;38,833;70,167;2,72;4,167;1;11,007;6,438;0,935;7,167;0,725;11,833;9,833
"271";"Russia";"Georgiy Dzhikiya";13;109;238;3;29,54;12;3;70,86;42,53;3,75;10;21;18,26;0,028;0,055;4,333;36,333;79,333;9,847;4;1;23,62;14,177;1,25;3,333;6,087;7;4,333
"32";"Denmark";"Pierre-Emile Højbjerg";87;364;703;6;11,26;30;4;64,13;40,52;5,27;42;68;4,21;0,011;0,124;14,5;60,667;117,167;1,877;5;0,667;10,688;6,753;0,878;7;0,702;11,333;14,5
"33";"Denmark";"Daniel Wass";25;161;273;5;12,03;16;3;72,31;62,19;5,09;30;44;0,87;0,019;0,092;5;32,2;54,6;2,406;3,2;0,6;14,462;12,438;1,018;6;0,174;8,8;5
"35";"Denmark";"Martin Braithwaite Christensen";28;168;217;6;9,77;9;0;89,19;46,42;3,71;14;20;1,44;0;0,129;4,667;28;36,167;1,628;1,5;0;14,865;7,737;0,618;2,333;0,24;3,333;4,667
"36";"Denmark";"Joakim Mæhle";42;249;373;6;8,8;20;2;77,72;19,22;5,15;27;23;1,36;0,008;0,113;7;41,5;62,167;1,467;3,333;0,333;12,953;3,203;0,858;4,5;0,227;3,833;7
"55";"Denmark";"Mikkel Damsgaard";31;111;232;5;14,99;18;4;80,59;42,18;3,38;19;36;5,6;0,036;0,134;6,2;22,2;46,4;2,998;3,6;0,8;16,118;8,436;0,676;3,8;1,12;7,2;6,2
"72";"Russia";"Matvey Safonov";10;28;150;2;57,2;16;3;71,54;49,31;1,06;10;56;57,2;0,107;0,067;5;14;75;28,6;8;1,5;35,77;24,655;0,53;5;28,6;28;5
"76";"Russia";"Mário Figueira Fernandes";3;58;140;3;18,09;14;0;58,28;61,49;3,88;12;23;11,53;0;0,021;1;19,333;46,667;6,03;4,667;0;19,427;20,497;1,293;4;3,843;7,667;1
"129";"Russia";"Artem Dzyuba";6;66;106;3;10,2;13;0;84,33;41,46;3,1;11;14;4,35;0;0,057;2;22;35,333;3,4;4,333;0;28,11;13,82;1,033;3,667;1,45;4,667;2
"524";"Denmark";"Jens Stryger Larsen";41;155;325;6;15,19;8;2;84,73;58,04;4,56;11;21;5,3;0,013;0,126;6,833;25,833;54,167;2,532;1,333;0,333;14,122;9,673;0,76;1,833;0,883;3,5;6,833
"526";"Russia";"Aleksandr Sobolev";1;13;16;2;11,52;5;1;56,86;39,17;3,29;6;8;4,66;0,077;0,062;0,5;6,5;8;5,76;2,5;0,5;28,43;19,585;1,645;3;2,33;4;0,5
"527";"Russia";"Rifat Zhemaletdinov";3;15;21;2;8,45;4;0;73,93;35,73;2,83;5;4;4,23;0;0,143;1,5;7,5;10,5;4,225;2;0;36,965;17,865;1,415;2,5;2,115;2;1,5
"539";"Denmark";"Kasper Dolberg";0;44;41;4;7,2;1;0;87,85;50,48;5;3;1;-3,43;0;0;0;11;10,25;1,8;0,25;0;21,962;12,62;1,25;0,75;-0,858;0,25;0
"568";"Russia";"Maksim Mukhin";9;18;64;3;20,7;4;2;74,94;47,62;4,2;3;12;12,6;0,111;0,141;3;6;21,333;6,9;1,333;0,667;24,98;15,873;1,4;1;4,2;4;3
"572";"Russia";"Vyacheslav Karavaev";4;46;92;3;20,5;4;0;99,7;22,32;2,8;2;2;15,46;0;0,043;1,333;15,333;30,667;6,833;1,333;0;33,233;7,44;0,933;0,667;5,153;0,667;1,333
"590";"Denmark";"Christian Nørgaard";24;94;126;5;6,9;7;1;61,84;31,96;4,89;7;9;4,17;0,011;0,19;4,8;18,8;25,2;1,38;1,4;0,2;12,368;6,392;0,978;1,4;0,834;1,8;4,8
"632";"Denmark";"Andreas Evald Cornelius";6;27;42;4;11,17;3;1;92,92;39,16;3,8;4;12;5,1;0,037;0,143;1,5;6,75;10,5;2,792;0,75;0,25;23,23;9,79;0,95;1;1,275;3;1,5
"633";"Denmark";"Mathias Jensen";15;104;217;6;12,07;3;0;78,28;22,3;5,25;3;4;8,88;0;0,069;2,5;17,333;36,167;2,012;0,5;0;13,047;3,717;0,875;0,5;1,48;0,667;2,5
"14";"Slovakia";"Marek Hamšík";45;131;249;3;14,63;26;6;65,24;37,67;6,17;42;76;1,62;0,046;0,181;15;43,667;83;4,877;8,667;2;21,747;12,557;2,057;14;0,54;25,333;15
"24";"Slovakia";"Patrik Hrošovský";17;48;79;2;11,59;25;3;52,23;45,25;6,98;39;46;2,17;0,062;0,215;8,5;24;39,5;5,795;12,5;1,5;26,115;22,625;3,49;19,5;1,085;23;8,5
"37";"Slovakia";"Ľubomír Šatka";63;166;202;3;8,57;67;5;42,99;47,83;8,93;83;58;5,02;0,03;0,312;21;55,333;67,333;2,857;22,333;1,667;14,33;15,943;2,977;27,667;1,673;19,333;21
"42";"Slovakia";"Peter Pekarík";22;122;193;3;11,63;21;1;53,34;59,54;7,23;43;39;-0,15;0,008;0,114;7,333;40,667;64,333;3,877;7;0,333;17,78;19,847;2,41;14,333;-0,05;13;7,333
"61";"Slovakia";"Milan Škriniar";13;151;174;3;10,13;54;3;42,35;31,97;8,25;72;47;6,04;0,02;0,075;4,333;50,333;58;3,377;18;1;14,117;10,657;2,75;24;2,013;15,667;4,333
"71";"Slovakia";"Tomáš Hubočan";19;96;221;3;13,13;19;2;57,45;22,65;6,89;31;39;1,73;0,021;0,086;6,333;32;73,667;4,377;6,333;0,667;19,15;7,55;2,297;10,333;0,577;13;6,333
"122";"Slovakia";"Juraj Kucka";25;91;185;3;11,88;21;4;62,67;46,15;5,84;25;41;4,51;0,044;0,135;8,333;30,333;61,667;3,96;7;1,333;20,89;15,383;1,947;8,333;1,503;13,667;8,333
"141";"Slovakia";"Martin Dúbravka";15;69;191;3;24,6;22;1;37,47;48,8;6,65;16;15;23,48;0,014;0,079;5;23;63,667;8,2;7,333;0,333;12,49;16,267;2,217;5,333;7,827;5;5
"25";"Slovakia";"Martin Koscelník";4;35;67;2;14,29;14;2;63,24;58,38;5,85;28;30;-2,71;0,057;0,06;2;17,5;33,5;7,145;7;1;31,62;29,19;2,925;14;-1,355;15;2
"26";"Sweden";"Victor Nilsson Lindelöf";35;190;288;4;12,23;53;10;61,55;37,19;8,1;57;65;9,98;0,053;0,122;8,75;47,5;72;3,058;13,25;2,5;15,387;9,297;2,025;14,25;2,495;16,25;8,75
"272";"Sweden";"Kristoffer Olsson";67;145;286;4;12,03;24;8;69,81;41,08;7,19;32;54;3,73;0,055;0,234;16,75;36,25;71,5;3,007;6;2;17,452;10,27;1,798;8;0,932;13,5;16,75
"30";"Sweden";"Emil Peter Forsberg";41;133;241;4;11,48;22;6;82,03;28,38;5,5;35;74;2,65;0,045;0,17;10,25;33,25;60,25;2,87;5,5;1,5;20,508;7,095;1,375;8,75;0,662;18,5;10,25
"44";"Slovakia";"Ondrej Duda";17;77;111;3;9,71;11;4;73,02;45,5;6,31;29;30;-2,73;0,052;0,153;5,667;25,667;37;3,237;3,667;1,333;24,34;15,167;2,103;9,667;-0,91;10;5,667
"47";"Sweden";"Marcus Andreas Danielsson";10;134;222;4;10,41;24;2;59,81;28,81;7,6;34;33;2,57;0,015;0,045;2,5;33,5;55,5;2,602;6;0,5;14,953;7,202;1,9;8,5;0,642;8,25;2,5
"511";"Sweden";"Albin Ekdal";28;128;194;4;7,86;9;1;58,69;38,05;8,24;31;11;-4,96;0,008;0,144;7;32;48,5;1,965;2,25;0,25;14,672;9,512;2,06;7,75;-1,24;2,75;7
"57";"Sweden";"Alexander Isak";22;65;138;4;10,14;20;6;93,51;42,1;3,13;19;54;8,38;0,092;0,159;5,5;16,25;34,5;2,535;5;1,5;23,378;10,525;0,782;4,75;2,095;13,5;5,5
"80";"Slovakia";"Róbert Mak";16;56;70;3;10,47;7;2;72,5;18,94;6,71;18;25;-3,3;0,036;0,229;5,333;18,667;23,333;3,49;2,333;0,667;24,167;6,313;2,237;6;-1,1;8,333;5,333
"93";"Sweden";"Ludwig Augustinsson";12;108;274;4;13,46;20;4;68,66;23,34;4,92;27;52;3,15;0,037;0,044;3;27;68,5;3,365;5;1;17,165;5,835;1,23;6,75;0,787;13;3
"107";"Sweden";"Marcus Berg";2;40;50;4;4,76;7;0;72,55;28,94;5,42;11;3;-4,83;0;0,04;0,5;10;12,5;1,19;1,75;0;18,137;7,235;1,355;2,75;-1,208;0,75;0,5
"1111";"Sweden";"Robin Olsen";6;61;236;4;37,77;9;1;49,86;32,73;5,22;6;14;37,77;0,016;0,025;1,5;15,25;59;9,443;2,25;0,25;12,465;8,182;1,305;1,5;9,443;3,5;1,5
"1291";"Sweden";"Mikael Lustig";22;142;355;4;13,24;18;1;61,74;58,12;6,92;33;36;0,49;0,007;0,062;5,5;35,5;88,75;3,31;4,5;0,25;15,435;14,53;1,73;8,25;0,122;9;5,5
"161";"Sweden";"Sebastian Larsson";33;120;233;4;8,72;16;4;69,9;55,63;6,71;29;27;-1,29;0,033;0,142;8,25;30;58,25;2,18;4;1;17,475;13,908;1,678;7,25;-0,322;6,75;8,25
"685";"Slovakia";"Lukáš Haraslín";0;28;18;3;4,42;5;0;68,62;59,32;5,9;7;3;-2,22;0;0;0;9,333;6;1,473;1,667;0;22,873;19,773;1,967;2,333;-0,74;1;0
"708";"Sweden";"Viktor Claesson";0;18;31;4;20,6;1;0;67,3;37,55;6;2;0;-5,8;0;0;0;4,5;7,75;5,15;0,25;0;16,825;9,387;1,5;0,5;-1,45;0;0
"763";"Slovakia";"Vladimír Weiss";3;20;43;2;9,86;8;0;74,45;42,04;6,45;8;11;6,25;0;0,07;1,5;10;21,5;4,93;4;0;37,225;21,02;3,225;4;3,125;5,5;1,5
"764";"Slovakia";"László Bénes";0;13;20;2;10,3;8;0;72,88;42,06;6,17;10;10;2,51;0;0;0;6,5;10;5,15;4;0;36,44;21,03;3,085;5;1,255;5;0
"775";"Sweden";"Robin Quaison";2;13;13;4;8,25;2;0;84,2;42,35;3;3;4;1,07;0;0,154;0,5;3,25;3,25;2,062;0,5;0;21,05;10,588;0,75;0,75;0,268;1;0,5
"814";"Slovakia";"Dávid Hancko";5;10;31;1;17,98;8;1;65,9;16,92;5,7;8;18;13,52;0,1;0,161;5;10;31;17,98;8;1;65,9;16,92;5,7;8;13,52;18;5
"833";"Slovakia";"Michal Ďuriš";0;9;4;3;5,5;1;0;98,7;63,9;5;1;3;5,5;0;0;0;3;1,333;1,833;0,333;0;32,9;21,3;1,667;0,333;1,833;1;0
"837";"Sweden";"Pierre Bengtsson";4;15;47;3;11;2;0;96,6;35,8;3,5;1;3;11;0;0,085;1,333;5;15,667;3,667;0,667;0;32,2;11,933;1,167;0,333;3,667;1;1,333
"871";"Sweden";"Emil Krafth";0;22;49;4;43,9;1;0;63,8;46,8;0;0;0;43,9;0;0;0;5,5;12,25;10,975;0,25;0;15,95;11,7;0;0;10,975;0;0
"43";"Italy";"Alessandro Bastoni";7;76;98;1;10,87;43;2;59,74;27,79;5,42;72;71;3,32;0,026;0,071;7;76;98;10,87;43;2;59,74;27,79;5,42;72;3,32;71;7
"63";"Wales";"Connor Roberts";23;109;194;4;29,36;16;4;65,76;60,75;4,13;24;43;10,37;0,037;0,119;5,75;27,25;48,5;7,34;4;1;16,44;15,188;1,032;6;2,592;10,75;5,75
"73";"Wales";"Gareth Frank Bale";40;94;212;4;15,66;9;2;80,45;33,11;4,31;9;24;7,95;0,021;0,189;10;23,5;53;3,915;2,25;0,5;20,113;8,278;1,077;2,25;1,988;6;10
"123";"Wales";"Danny Ward";25;66;227;4;50,24;28;4;60,74;57,83;0,46;13;55;50,24;0,061;0,11;6,25;16,5;56,75;12,56;7;1;15,185;14,457;0,115;3,25;12,56;13,75;6,25
"311";"Wales";"Ethan Ampadu";6;30;53;2;9,91;19;3;55,97;39,83;4,35;23;32;4,89;0,1;0,113;3;15;26,5;4,955;9,5;1,5;27,985;19,915;2,175;11,5;2,445;16;3
"321";"Wales";"Joseff Morrell";20;110;191;4;11,06;13;1;52,3;61,17;4,32;18;19;2,84;0,009;0,105;5;27,5;47,75;2,765;3,25;0,25;13,075;15,293;1,08;4,5;0,71;4,75;5
"331";"Wales";"Joe Rodon";17;110;128;4;12,71;10;0;41,15;46,17;4,41;19;4;1,65;0;0,133;4,25;27,5;32;3,178;2,5;0;10,287;11,543;1,102;4,75;0,412;1;4,25
"371";"Wales";"Neco Williams";4;71;141;2;17,58;12;0;64,31;13,98;4,38;18;20;2,03;0;0,028;2;35,5;70,5;8,79;6;0;32,155;6,99;2,19;9;1,015;10;2
"451";"Wales";"Joe Allen";26;116;153;4;6,59;8;2;62,95;38,86;4,94;16;17;-1,03;0,017;0,17;6,5;29;38,25;1,648;2;0,5;15,738;9,715;1,235;4;-0,258;4,25;6,5
"58";"Wales";"Chris Gunter";0;27;36;1;15,75;17;0;37,37;22,48;3,48;23;16;5,8;0;0;0;27;36;15,75;17;0;37,37;22,48;3,48;23;5,8;16;0
"91";"Wales";"Aaron Ramsey";33;136;245;4;16,18;12;5;70,13;45,17;4,05;14;33;5,85;0,037;0,135;8,25;34;61,25;4,045;3;1,25;17,532;11,293;1,012;3,5;1,462;8,25;8,25
"105";"Wales";"Daniel James";11;54;68;4;26,65;2;1;83,27;38,66;5,14;5;10;-1,43;0,019;0,162;2,75;13,5;17;6,662;0,5;0,25;20,817;9,665;1,285;1,25;-0,358;2,5;2,75
"426";"Italy";"Francesco Acerbi";13;156;224;3;10,11;41;0;62,11;51,64;4,91;52;53;6,71;0;0,058;4,333;52;74,667;3,37;13,667;0;20,703;17,213;1,637;17,333;2,237;17,667;4,333
"605";"Wales";"Kieffer Roberto Francisco Moore";2;53;55;4;3,3;1;1;75,05;61;5,5;2;2;-2,25;0,019;0,036;0,5;13,25;13,75;0,825;0,25;0,25;18,762;15,25;1,375;0,5;-0,562;0,5;0,5
"650";"Italy";"Bryan Cristante";7;71;129;6;11,02;16;1;64,83;38,09;4,24;17;33;10,21;0,014;0,054;1,167;11,833;21,5;1,837;2,667;0,167;10,805;6,348;0,707;2,833;1,702;5,5;1,167
"662";"Italy";"Giacomo Raspadori";0;5;0;1;0;0;0;68,78;15,12;7,4;3;0;-9,98;0;0;0;5;0;0;0;0;68,78;15,12;7,4;3;-9,98;0;0
"668";"Wales";"Harry Wilson";2;14;15;3;0;0;0;64,8;31;6;1;0;-5,8;0;0,133;0,667;4,667;5;0;0;0;21,6;10,333;2;0,333;-1,933;0;0,667
